frame,id,x,y,z,brightness
66,117755,48.8520,55.5616,0.4179,1964.0000
66,128143,56.9770,60.4110,0.3103,1950.0000
66,133959,59.0437,59.4671,0.6976,1998.0000
67,112486,44.2964,60.4208,0.3807,1110.0000
67,114274,46.3164,30.5822,1.0068,2048.0000
67,117192,48.7483,23.1542,0.6668,2070.0000
67,117755,48.8520,55.5616,0.4179,1979.0000
67,128143,56.9770,60.4110,0.3103,1955.0000
67,133959,59.0437,59.4671,0.6976,2049.0000
68,112486,44.2964,60.4208,0.3807,1948.0000
68,114274,46.3164,30.5822,1.0068,2070.0000
68,117192,48.7483,23.1542,0.6668,2046.0000
68,117755,48.8520,55.5616,0.4179,961.0000
68,128143,56.9770,60.4110,0.3103,2095.0000
68,133959,59.0437,59.4671,0.6976,992.0000
69,112486,44.2964,60.4208,0.3807,621.0000
69,114274,46.3164,30.5822,1.0068,2023.0000
69,117192,48.7483,23.1542,0.6668,983.0000
69,128143,56.9770,60.4110,0.3103,2049.0000
70,98361,31.8538,29.9348,1.0013,1907.0000
70,114274,46.3164,30.5822,1.0068,1982.0000
70,115077,47.1712,25.7956,0.8242,1797.0000
70,128143,56.9770,60.4110,0.3103,2057.0000
71,98361,31.8538,29.9348,1.0013,2002.0000
71,114274,46.3164,30.5822,1.0068,1989.0000
71,115077,47.1712,25.7956,0.8242,1105.0000
71,128143,56.9770,60.4110,0.3103,2045.0000
71,131835,58.5520,4.6471,0.4086,1314.0000
72,96459,29.7225,55.8865,0.3302,1812.0000
72,98361,31.8538,29.9348,1.0013,1695.0000
72,114274,46.3164,30.5822,1.0068,2031.0000
72,128143,56.9770,60.4110,0.3103,1270.0000
73,96459,29.7225,55.8865,0.3302,1420.0000
73,105211,37.8881,29.3710,0.7306,723.0000
73,114274,46.3164,30.5822,1.0068,1952.0000
74,105211,37.8881,29.3710,0.7306,2071.0000
74,114274,46.3164,30.5822,1.0068,1524.0000
75,105211,37.8881,29.3710,0.7306,85.0000
76,134054,59.7876,15.1909,0.8787,318.0000
77,134054,59.7876,15.1909,0.8787,2008.0000
78,126060,56.7840,15.5230,0.8228,381.0000
78,134054,59.7876,15.1909,0.8787,1994.0000
79,100979,33.7970,41.7473,0.3947,1843.0000
79,134054,59.7876,15.1909,0.8787,2027.0000
80,100979,33.7970,41.7473,0.3947,885.0000
80,134054,59.7876,15.1909,0.8787,551.0000
81,112560,45.3040,13.7062,0.7608,1524.0000
82,107164,39.5982,17.4357,0.7347,768.0000
82,112560,45.3040,13.7062,0.7608,1972.0000
82,115043,46.8822,26.0499,0.8340,386.0000
82,120995,51.6724,61.7714,0.3831,1910.0000
83,107164,39.5982,17.4357,0.7347,82.0000
83,112560,45.3040,13.7062,0.7608,2064.0000
83,115043,46.8822,26.0499,0.8340,1966.0000
83,120995,51.6724,61.7714,0.3831,707.0000
84,112560,45.3040,13.7062,0.7608,531.0000
84,115043,46.8822,26.0499,0.8340,2044.0000
85,99556,32.6538,29.7198,1.0116,1658.0000
85,115043,46.8822,26.0499,0.8340,2014.0000
86,99556,32.6538,29.7198,1.0116,2045.0000
86,111431,44.3074,13.9858,0.7429,1639.0000
86,115043,46.8822,26.0499,0.8340,2018.0000
86,126045,57.4469,15.5503,0.8384,1732.0000
87,99556,32.6538,29.7198,1.0116,2000.0000
87,111431,44.3074,13.9858,0.7429,1287.0000
87,115043,46.8822,26.0499,0.8340,1951.0000
87,126045,57.4469,15.5503,0.8384,443.0000
87,132825,58.7389,20.7516,0.4392,694.0000
88,77046,8.1236,47.1095,0.5917,138.0000
88,80085,12.0817,10.8254,0.6840,7.0000
88,89159,22.0824,28.6725,0.9500,1149.0000
88,97794,31.6050,3.0824,0.5883,231.0000
88,99556,32.6538,29.7198,1.0116,1940.0000
88,115043,46.8822,26.0499,0.8340,2030.0000
88,118374,49.6087,29.8505,1.0000,625.0000
88,132825,58.7389,20.7516,0.4392,2010.0000
89,77046,8.1236,47.1095,0.5917,1998.0000
89,80085,12.0817,10.8254,0.6840,2040.0000
89,89159,22.0824,28.6725,0.9500,1971.0000
89,97794,31.6050,3.0824,0.5883,1984.0000
89,99556,32.6538,29.7198,1.0116,1969.0000
89,115043,46.8822,26.0499,0.8340,2000.0000
89,118374,49.6087,29.8505,1.0000,2010.0000
89,132825,58.7389,20.7516,0.4392,438.0000
90,77046,8.1236,47.1095,0.5917,1981.0000
90,80085,12.0817,10.8254,0.6840,2020.0000
90,89159,22.0824,28.6725,0.9500,1950.0000
90,97794,31.6050,3.0824,0.5883,1121.0000
90,99556,32.6538,29.7198,1.0116,1961.0000
90,115043,46.8822,26.0499,0.8340,1394.0000
90,118374,49.6087,29.8505,1.0000,1653.0000
91,77046,8.1236,47.1095,0.5917,23.0000
91,80085,12.0817,10.8254,0.6840,2011.0000
91,89159,22.0824,28.6725,0.9500,2053.0000
91,99556,32.6538,29.7198,1.0116,2008.0000
92,80085,12.0817,10.8254,0.6840,744.0000
92,89159,22.0824,28.6725,0.9500,1970.0000
92,99556,32.6538,29.7198,1.0116,2019.0000
93,89159,22.0824,28.6725,0.9500,2070.0000
93,98917,31.5951,56.4398,0.3582,546.0000
93,99556,32.6538,29.7198,1.0116,2044.0000
94,89159,22.0824,28.6725,0.9500,2037.0000
94,98917,31.5951,56.4398,0.3582,1972.0000
94,99556,32.6538,29.7198,1.0116,98.0000
95,89159,22.0824,28.6725,0.9500,2077.0000
95,98917,31.5951,56.4398,0.3582,1921.0000
96,89159,22.0824,28.6725,0.9500,1975.0000
96,98917,31.5951,56.4398,0.3582,634.0000
97,89159,22.0824,28.6725,0.9500,1956.0000
98,89159,22.0824,28.6725,0.9500,1981.0000
99,89159,22.0824,28.6725,0.9500,2036.0000
100,89159,22.0824,28.6725,0.9500,1061.0000
101,114684,46.4872,62.3380,0.3707,1591.0000
102,114684,46.4872,62.3380,0.3707,179.0000
103,87192,18.5600,62.7299,0.3320,801.0000
103,98543,32.0643,32.6479,0.7042,515.0000
104,98543,32.0643,32.6479,0.7042,82.0000
104,107523,40.2867,30.4984,1.0023,102.0000
105,95509,30.4294,2.0120,0.6075,1101.0000
105,107523,40.2867,30.4984,1.0023,1932.0000
105,109232,41.3824,57.7106,0.3694,382.0000
106,95509,30.4294,2.0120,0.6075,1934.0000
106,107523,40.2867,30.4984,1.0023,2010.0000
106,109232,41.3824,57.7106,0.3694,1969.0000
107,95509,30.4294,2.0120,0.6075,1436.0000
107,107523,40.2867,30.4984,1.0023,162.0000
107,109232,41.3824,57.7106,0.3694,1937.0000
108,109232,41.3824,57.7106,0.3694,31.0000
108,118619,50.3575,35.6251,0.6068,466.0000
109,106408,39.0437,28.7297,0.7611,1588.0000
110,80924,12.3944,54.1204,0.4671,803.0000
110,98697,32.3070,40.6207,0.4059,951.0000
110,106408,39.0437,28.7297,0.7611,1949.0000
111,80924,12.3944,54.1204,0.4671,1994.0000
111,98697,32.3070,40.6207,0.4059,1995.0000
111,104464,37.1257,44.0070,0.4015,746.0000
111,106408,39.0437,28.7297,0.7611,2053.0000
112,80924,12.3944,54.1204,0.4671,583.0000
112,80931,12.3031,54.5776,0.4551,1949.0000
112,93699,28.1377,2.7824,0.3081,684.0000
112,98697,32.3070,40.6207,0.4059,2110.0000
112,106408,39.0437,28.7297,0.7611,461.0000
113,80931,12.3031,54.5776,0.4551,1957.0000
113,93699,28.1377,2.7824,0.3081,1327.0000
113,98697,32.3070,40.6207,0.4059,1930.0000
114,80931,12.3031,54.5776,0.4551,2016.0000
114,98697,32.3070,40.6207,0.4059,1933.0000
114,107034,39.5285,12.2036,0.6857,933.0000
115,80931,12.3031,54.5776,0.4551,2026.0000
115,98697,32.3070,40.6207,0.4059,5.0000
115,107034,39.5285,12.2036,0.6857,2033.0000
115,107418,40.4168,22.7081,0.4934,1478.0000
116,80931,12.3031,54.5776,0.4551,2025.0000
116,107034,39.5285,12.2036,0.6857,2065.0000
116,107418,40.4168,22.7081,0.4934,2065.0000
117,80931,12.3031,54.5776,0.4551,1873.0000
117,102404,34.7323,56.2444,0.3929,1744.0000
117,102673,36.4382,9.4821,0.6544,453.0000
117,107034,39.5285,12.2036,0.6857,1934.0000
117,107418,40.4168,22.7081,0.4934,1988.0000
117,117562,49.3274,34.3534,0.5675,1819.0000
118,98612,31.6011,40.1966,0.4049,650.0000
118,102404,34.7323,56.2444,0.3929,1995.0000
118,102673,36.4382,9.4821,0.6544,1992.0000
118,107034,39.5285,12.2036,0.6857,1993.0000
118,107418,40.4168,22.7081,0.4934,1930.0000
118,109718,41.9323,24.8205,0.4911,1524.0000
118,117562,49.3274,34.3534,0.5675,1982.0000
119,69600,1.5996,23.7953,0.7692,395.0000
119,98612,31.6011,40.1966,0.4049,1244.0000
119,102404,34.7323,56.2444,0.3929,2026.0000
119,102673,36.4382,9.4821,0.6544,1955.0000
119,103174,36.1758,30.0232,1.0117,1155.0000
119,107034,39.5285,12.2036,0.6857,2017.0000
119,107418,40.4168,22.7081,0.4934,2005.0000
119,117562,49.3274,34.3534,0.5675,1973.0000
119,118795,50.4204,57.6383,0.4241,1042.0000
119,123948,56.0077,27.0385,0.6933,800.0000
120,69600,1.5996,23.7953,0.7692,555.0000
120,102404,34.7323,56.2444,0.3929,2007.0000
120,102673,36.4382,9.4821,0.6544,432.0000
120,103174,36.1758,30.0232,1.0117,1342.0000
120,107034,39.5285,12.2036,0.6857,2074.0000
120,107418,40.4168,22.7081,0.4934,1962.0000
120,117562,49.3274,34.3534,0.5675,2008.0000
120,118795,50.4204,57.6383,0.4241,747.0000
120,123948,56.0077,27.0385,0.6933,335.0000
121,102404,34.7323,56.2444,0.3929,1987.0000
121,107034,39.5285,12.2036,0.6857,2005.0000
121,107418,40.4168,22.7081,0.4934,2033.0000
121,117562,49.3274,34.3534,0.5675,2049.0000
122,102404,34.7323,56.2444,0.3929,1906.0000
122,107034,39.5285,12.2036,0.6857,723.0000
122,107418,40.4168,22.7081,0.4934,2086.0000
122,117562,49.3274,34.3534,0.5675,2059.0000
122,129956,57.9222,19.4628,1.0324,773.0000
123,76256,6.6122,49.1133,0.3758,1914.0000
123,102404,34.7323,56.2444,0.3929,1977.0000
123,107418,40.4168,22.7081,0.4934,1939.0000
123,117562,49.3274,34.3534,0.5675,1973.0000
124,76256,6.6122,49.1133,0.3758,663.0000
124,102404,34.7323,56.2444,0.3929,1989.0000
124,107418,40.4168,22.7081,0.4934,851.0000
124,117562,49.3274,34.3534,0.5675,2058.0000
125,100136,33.3611,56.1452,0.3615,234.0000
125,102404,34.7323,56.2444,0.3929,2072.0000
125,117562,49.3274,34.3534,0.5675,1956.0000
126,102404,34.7323,56.2444,0.3929,2014.0000
126,104129,37.2351,29.6905,0.7486,1602.0000
126,117562,49.3274,34.3534,0.5675,1996.0000
126,127008,56.5373,39.0785,0.3796,1244.0000
127,102404,34.7323,56.2444,0.3929,2063.0000
127,104129,37.2351,29.6905,0.7486,1017.0000
127,117562,49.3274,34.3534,0.5675,2027.0000
127,127008,56.5373,39.0785,0.3796,2046.0000
128,102404,34.7323,56.2444,0.3929,2022.0000
128,117562,49.3274,34.3534,0.5675,1994.0000
128,127008,56.5373,39.0785,0.3796,2051.0000
129,102404,34.7323,56.2444,0.3929,2016.0000
129,117562,49.3274,34.3534,0.5675,2003.0000
129,127008,56.5373,39.0785,0.3796,1437.0000
130,85813,17.9493,37.0655,0.4358,1193.0000
130,102404,34.7323,56.2444,0.3929,1477.0000
130,117562,49.3274,34.3534,0.5675,1928.0000
131,78896,9.7533,50.9520,0.5179,3.0000
131,85813,17.9493,37.0655,0.4358,1921.0000
131,89287,22.0234,37.7256,0.4016,603.0000
131,117562,49.3274,34.3534,0.5675,2030.0000
132,78896,9.7533,50.9520,0.5179,1973.0000
132,85813,17.9493,37.0655,0.4358,2006.0000
132,88738,20.7627,44.7913,0.1744,680.0000
132,89287,22.0234,37.7256,0.4016,1926.0000
132,117562,49.3274,34.3534,0.5675,1999.0000
133,78896,9.7533,50.9520,0.5179,105.0000
133,85813,17.9493,37.0655,0.4358,1997.0000
133,88738,20.7627,44.7913,0.1744,1204.0000
133,89078,22.3903,10.1538,0.7389,1466.0000
133,89287,22.0234,37.7256,0.4016,2003.0000
133,102287,34.7580,51.7898,0.3019,1601.0000
133,108712,40.9863,30.6923,0.9953,242.0000
133,117562,49.3274,34.3534,0.5675,2008.0000
134,85813,17.9493,37.0655,0.4358,2000.0000
134,89078,22.3903,10.1538,0.7389,1931.0000
134,89287,22.0234,37.7256,0.4016,319.0000
134,102287,34.7580,51.7898,0.3019,2029.0000
134,103074,36.1961,30.2422,0.7436,1700.0000
134,117562,49.3274,34.3534,0.5675,2053.0000
134,125500,56.1444,49.7600,0.3736,1683.0000
135,82864,15.0060,10.9830,0.6894,1443.0000
135,85813,17.9493,37.0655,0.4358,1895.0000
135,89078,22.3903,10.1538,0.7389,1810.0000
135,102287,34.7580,51.7898,0.3019,1652.0000
135,103074,36.1961,30.2422,0.7436,80.0000
135,117562,49.3274,34.3534,0.5675,1983.0000
135,125500,56.1444,49.7600,0.3736,2008.0000
136,82864,15.0060,10.9830,0.6894,1943.0000
136,85813,17.9493,37.0655,0.4358,2029.0000
136,90320,23.2790,54.1802,0.2491,1062.0000
136,116093,47.9780,22.6488,0.6730,465.0000
136,117562,49.3274,34.3534,0.5675,1739.0000
136,125500,56.1444,49.7600,0.3736,1990.0000
137,82130,14.1139,36.3503,0.4222,526.0000
137,82864,15.0060,10.9830,0.6894,2007.0000
137,85813,17.9493,37.0655,0.4358,294.0000
137,90320,23.2790,54.1802,0.2491,2010.0000
137,94643,28.6441,3.8916,0.3258,156.0000
137,116093,47.9780,22.6488,0.6730,256.0000
137,125500,56.1444,49.7600,0.3736,1924.0000
138,82130,14.1139,36.3503,0.4222,1990.0000
138,82864,15.0060,10.9830,0.6894,2000.0000
138,90320,23.2790,54.1802,0.2491,1976.0000
138,94643,28.6441,3.8916,0.3258,2041.0000
138,125500,56.1444,49.7600,0.3736,1780.0000
139,82130,14.1139,36.3503,0.4222,1986.0000
139,82864,15.0060,10.9830,0.6894,1955.0000
139,90320,23.2790,54.1802,0.2491,1950.0000
139,94643,28.6441,3.8916,0.3258,2035.0000
140,81133,12.7836,27.5580,0.9081,21.0000
140,82130,14.1139,36.3503,0.4222,1916.0000
140,82864,15.0060,10.9830,0.6894,1954.0000
140,90320,23.2790,54.1802,0.2491,1482.0000
140,94643,28.6441,3.8916,0.3258,2032.0000
141,81133,12.7836,27.5580,0.9081,1997.0000
141,82130,14.1139,36.3503,0.4222,2019.0000
141,82864,15.0060,10.9830,0.6894,1982.0000
141,94472,27.5862,55.2700,0.3062,1698.0000
141,94643,28.6441,3.8916,0.3258,12.0000
142,81133,12.7836,27.5580,0.9081,1357.0000
142,82130,14.1139,36.3503,0.4222,1872.0000
142,82864,15.0060,10.9830,0.6894,1944.0000
142,94472,27.5862,55.2700,0.3062,619.0000
142,107981,40.2853,56.6201,0.3495,1259.0000
142,120879,51.7003,61.2516,0.3867,1063.0000
143,82864,15.0060,10.9830,0.6894,1155.0000
143,107981,40.2853,56.6201,0.3495,2048.0000
143,120879,51.7003,61.2516,0.3867,2099.0000
144,75427,6.8828,8.7781,0.7377,1636.0000
144,81255,13.3948,35.7792,0.4221,274.0000
144,107981,40.2853,56.6201,0.3495,1999.0000
144,120879,51.7003,61.2516,0.3867,1935.0000
145,75427,6.8828,8.7781,0.7377,2020.0000
145,77245,8.2239,48.5803,0.3675,499.0000
145,81255,13.3948,35.7792,0.4221,1976.0000
145,107981,40.2853,56.6201,0.3495,601.0000
145,120879,51.7003,61.2516,0.3867,1959.0000
146,75427,6.8828,8.7781,0.7377,186.0000
146,77245,8.2239,48.5803,0.3675,893.0000
146,81255,13.3948,35.7792,0.4221,1960.0000
146,89767,22.5009,9.9457,0.7380,1821.0000
146,120879,51.7003,61.2516,0.3867,1992.0000
147,81255,13.3948,35.7792,0.4221,2003.0000
147,89767,22.5009,9.9457,0.7380,1134.0000
147,120879,51.7003,61.2516,0.3867,2093.0000
148,81255,13.3948,35.7792,0.4221,307.0000
148,120879,51.7003,61.2516,0.3867,1994.0000
148,125272,55.7424,47.5424,0.3811,676.0000
149,120879,51.7003,61.2516,0.3867,1993.0000
149,125272,55.7424,47.5424,0.3811,1975.0000
150,120879,51.7003,61.2516,0.3867,2035.0000
150,125272,55.7424,47.5424,0.3811,1939.0000
151,70720,2.5608,26.7511,0.9365,1717.0000
151,87299,19.2519,63.8574,0.3337,1295.0000
151,92303,26.0760,38.7787,0.3936,970.0000
151,120879,51.7003,61.2516,0.3867,1996.0000
151,123535,55.3831,42.0127,0.6679,313.0000
151,125272,55.7424,47.5424,0.3811,2057.0000
151,125817,56.4614,56.5658,0.3446,810.0000
152,70720,2.5608,26.7511,0.9365,1493.0000
152,87299,19.2519,63.8574,0.3337,1942.0000
152,92303,26.0760,38.7787,0.3936,1276.0000
152,120879,51.7003,61.2516,0.3867,1951.0000
152,123535,55.3831,42.0127,0.6679,1976.0000
152,125272,55.7424,47.5424,0.3811,272.0000
152,125817,56.4614,56.5658,0.3446,1234.0000
153,87299,19.2519,63.8574,0.3337,1570.0000
153,120879,51.7003,61.2516,0.3867,1999.0000
153,123535,55.3831,42.0127,0.6679,530.0000
154,70364,3.2094,6.9287,0.7367,1038.0000
154,120879,51.7003,61.2516,0.3867,1292.0000
155,70364,3.2094,6.9287,0.7367,1577.0000
155,103055,35.9728,30.1387,0.7498,153.0000
156,103055,35.9728,30.1387,0.7498,237.0000
156,123488,54.6751,41.0837,0.6742,470.0000
157,123080,54.6135,20.7738,1.0316,720.0000
157,123488,54.6751,41.0837,0.6742,2056.0000
158,112213,44.4077,51.2183,0.3845,562.0000
158,121655,53.2710,25.3203,0.6994,666.0000
158,123080,54.6135,20.7738,1.0316,622.0000
158,123488,54.6751,41.0837,0.6742,943.0000
159,73584,4.9279,37.5646,0.6389,1125.0000
159,112213,44.4077,51.2183,0.3845,2030.0000
159,121655,53.2710,25.3203,0.6994,2035.0000
160,73584,4.9279,37.5646,0.6389,1979.0000
160,88581,20.7292,43.2302,0.5263,390.0000
160,112213,44.4077,51.2183,0.3845,1953.0000
160,121655,53.2710,25.3203,0.6994,2082.0000
161,73584,4.9279,37.5646,0.6389,1632.0000
161,86977,18.9664,43.6323,0.5256,1029.0000
161,88581,20.7292,43.2302,0.5263,2019.0000
161,112213,44.4077,51.2183,0.3845,1988.0000
161,114844,47.0739,21.4763,0.6682,489.0000
161,121655,53.2710,25.3203,0.6994,1975.0000
162,86977,18.9664,43.6323,0.5256,1358.0000
162,88581,20.7292,43.2302,0.5263,1999.0000
162,92634,26.2376,54.6798,0.2878,762.0000
162,112213,44.4077,51.2183,0.3845,1982.0000
162,114844,47.0739,21.4763,0.6682,1991.0000
162,117634,49.2856,34.1020,0.5985,211.0000
162,121655,53.2710,25.3203,0.6994,340.0000
163,88581,20.7292,43.2302,0.5263,1925.0000
163,91717,25.3665,46.2935,0.2149,862.0000
163,92758,27.4442,10.4707,0.7420,938.0000
163,112213,44.4077,51.2183,0.3845,1994.0000
163,114844,47.0739,21.4763,0.6682,2013.0000
163,117634,49.2856,34.1020,0.5985,1967.0000
163,120137,51.8614,14.8568,0.7673,395.0000
164,88581,20.7292,43.2302,0.5263,905.0000
164,91717,25.3665,46.2935,0.2149,2005.0000
164,92758,27.4442,10.4707,0.7420,224.0000
164,112213,44.4077,51.2183,0.3845,1977.0000
164,114844,47.0739,21.4763,0.6682,1110.0000
164,117634,49.2856,34.1020,0.5985,257.0000
164,120137,51.8614,14.8568,0.7673,1969.0000
165,91717,25.3665,46.2935,0.2149,1421.0000
165,112213,44.4077,51.2183,0.3845,1953.0000
165,120137,51.8614,14.8568,0.7673,1993.0000
165,129431,58.2227,11.1707,0.4104,252.0000
166,109555,41.7077,24.3677,0.5122,446.0000
166,112213,44.4077,51.2183,0.3845,2020.0000
166,120137,51.8614,14.8568,0.7673,1989.0000
166,129431,58.2227,11.1707,0.4104,1982.0000
167,79972,10.9564,53.1735,0.5047,716.0000
167,95531,30.1325,1.7769,0.6053,648.0000
167,112213,44.4077,51.2183,0.3845,2022.0000
167,120137,51.8614,14.8568,0.7673,1910.0000
167,122825,53.8131,59.4950,0.6127,842.0000
167,124380,56.4995,42.2071,0.3567,468.0000
167,129431,58.2227,11.1707,0.4104,2008.0000
168,79972,10.9564,53.1735,0.5047,1177.0000
168,95531,30.1325,1.7769,0.6053,1965.0000
168,112213,44.4077,51.2183,0.3845,2063.0000
168,120137,51.8614,14.8568,0.7673,2045.0000
168,129431,58.2227,11.1707,0.4104,2005.0000
168,131756,58.8197,2.6740,0.4211,935.0000
169,112213,44.4077,51.2183,0.3845,1960.0000
169,120137,51.8614,14.8568,0.7673,1985.0000
169,129431,58.2227,11.1707,0.4104,1980.0000
169,131756,58.8197,2.6740,0.4211,1980.0000
170,96011,29.7501,29.5556,1.0095,1124.0000
170,112213,44.4077,51.2183,0.3845,1264.0000
170,120137,51.8614,14.8568,0.7673,2026.0000
170,129431,58.2227,11.1707,0.4104,2023.0000
170,131756,58.8197,2.6740,0.4211,2004.0000
170,137334,63.5800,16.1328,1.1584,786.0000
171,96011,29.7501,29.5556,1.0095,2065.0000
171,113897,46.0135,26.2189,0.8096,628.0000
171,120137,51.8614,14.8568,0.7673,2008.0000
171,129431,58.2227,11.1707,0.4104,1983.0000
171,131756,58.8197,2.6740,0.4211,1963.0000
171,137334,63.5800,16.1328,1.1584,554.0000
171,137467,63.9905,29.5885,0.6694,779.0000
172,70342,2.6596,6.7674,0.7426,323.0000
172,90641,24.2120,29.4738,0.9509,1140.0000
172,96011,29.7501,29.5556,1.0095,1948.0000
172,113897,46.0135,26.2189,0.8096,2029.0000
172,120137,51.8614,14.8568,0.7673,2044.0000
172,128736,58.2251,4.3997,0.4130,1705.0000
172,129431,58.2227,11.1707,0.4104,2043.0000
172,131756,58.8197,2.6740,0.4211,1323.0000
172,137467,63.9905,29.5885,0.6694,2003.0000
173,70342,2.6596,6.7674,0.7426,597.0000
173,80648,12.3415,53.4472,0.0998,186.0000
173,87758,20.3319,43.3389,0.5247,1047.0000
173,90641,24.2120,29.4738,0.9509,1984.0000
173,96011,29.7501,29.5556,1.0095,2053.0000
173,97663,31.0158,56.2972,0.3391,268.0000
173,113897,46.0135,26.2189,0.8096,1972.0000
173,120137,51.8614,14.8568,0.7673,2007.0000
173,122270,54.1394,21.1585,1.0088,1392.0000
173,128736,58.2251,4.3997,0.4130,1975.0000
173,129431,58.2227,11.1707,0.4104,1608.0000
173,137467,63.9905,29.5885,0.6694,2073.0000
174,80648,12.3415,53.4472,0.0998,1949.0000
174,83899,15.7667,28.2642,0.9165,299.0000
174,87758,20.3319,43.3389,0.5247,2059.0000
174,90641,24.2120,29.4738,0.9509,1946.0000
174,96011,29.7501,29.5556,1.0095,1991.0000
174,96656,31.0772,2.5870,0.6121,1115.0000
174,97663,31.0158,56.2972,0.3391,2084.0000
174,113897,46.0135,26.2189,0.8096,1088.0000
174,120137,51.8614,14.8568,0.7673,1969.0000
174,128736,58.2251,4.3997,0.4130,1978.0000
174,137467,63.9905,29.5885,0.6694,2014.0000
175,80648,12.3415,53.4472,0.0998,590.0000
175,83899,15.7667,28.2642,0.9165,1987.0000
175,87758,20.3319,43.3389,0.5247,2026.0000
175,90641,24.2120,29.4738,0.9509,1796.0000
175,90666,23.8460,28.9444,0.9746,401.0000
175,96011,29.7501,29.5556,1.0095,1943.0000
175,96656,31.0772,2.5870,0.6121,1941.0000
175,97663,31.0158,56.2972,0.3391,1966.0000
175,107147,39.8111,17.3215,0.7264,1712.0000
175,115957,47.5077,14.3318,0.7563,119.0000
175,118991,50.6601,14.6907,0.7633,619.0000
175,120137,51.8614,14.8568,0.7673,1938.0000
175,128736,58.2251,4.3997,0.4130,836.0000
175,137467,63.9905,29.5885,0.6694,2038.0000
176,83899,15.7667,28.2642,0.9165,1994.0000
176,87758,20.3319,43.3389,0.5247,198.0000
176,90666,23.8460,28.9444,0.9746,2039.0000
176,96011,29.7501,29.5556,1.0095,237.0000
176,96656,31.0772,2.5870,0.6121,2056.0000
176,97663,31.0158,56.2972,0.3391,2088.0000
